silver          | 26/04/18 21:19:32 INFO BlockManagerInfo: Added broadcast_2706_piece0 in memory on 172.18.0.7:43221 (size: 36.9 KiB, free: 864.7 MiB)
silver          | 26/04/18 21:19:32 INFO BlockManagerInfo: Added broadcast_2706_piece0 in memory on 172.18.0.6:36531 (size: 36.9 KiB, free: 864.7 MiB)
gold            | 26/04/18 21:19:32 INFO TaskSetManager: Starting task 19.0 in stage 553.0 (TID 2450) (172.18.0.9, executor 6, partition 19, NODE_LOCAL, 8029 bytes) 
gold            | 26/04/18 21:19:32 INFO TaskSetManager: Finished task 18.0 in stage 553.0 (TID 2449) in 763 ms on 172.18.0.9 (executor 6) (25/50)
silver          | 26/04/18 21:19:32 INFO TaskSetManager: Finished task 1.0 in stage 1264.0 (TID 13062) in 570 ms on 172.18.0.7 (executor 13) (1/4)
bronze          | 26/04/18 21:19:32 INFO BlockManagerInfo: Removed broadcast_1161_piece0 on 2725c065960b:41071 in memory (size: 38.0 KiB, free: 136.3 MiB)
silver          | 26/04/18 21:19:32 INFO TaskSetManager: Finished task 3.0 in stage 1264.0 (TID 13064) in 673 ms on 172.18.0.6 (executor 16) (2/4)
bronze          | 26/04/18 21:19:32 INFO BlockManagerInfo: Removed broadcast_1161_piece0 on 172.18.0.7:44763 in memory (size: 38.0 KiB, free: 506.7 MiB)
bronze          | 26/04/18 21:19:32 INFO BlockManagerInfo: Removed broadcast_1161_piece0 on 172.18.0.6:42633 in memory (size: 38.0 KiB, free: 506.7 MiB)
silver          | 26/04/18 21:19:32 INFO BlockManagerInfo: Added broadcast_2706_piece0 in memory on 172.18.0.8:32917 (size: 36.9 KiB, free: 864.7 MiB)
bronze          | 26/04/18 21:19:32 INFO BlockManagerInfo: Removed broadcast_1162_piece0 on 2725c065960b:41071 in memory (size: 29.3 KiB, free: 136.3 MiB)
silver          | 26/04/18 21:19:32 INFO BlockManagerInfo: Added broadcast_2705_piece0 in memory on 172.18.0.9:37307 (size: 38.3 KiB, free: 864.9 MiB)
bronze          | 26/04/18 21:19:32 INFO BlockManagerInfo: Removed broadcast_1162_piece0 on 172.18.0.6:42633 in memory (size: 29.3 KiB, free: 506.7 MiB)
bronze          | 26/04/18 21:19:32 INFO BlockManagerInfo: Removed broadcast_1162_piece0 on 172.18.0.7:44763 in memory (size: 29.3 KiB, free: 506.8 MiB)
bronze          | 26/04/18 21:19:32 INFO BlockManagerInfo: Removed broadcast_1163_piece0 on 2725c065960b:41071 in memory (size: 17.9 KiB, free: 136.3 MiB)
bronze          | 26/04/18 21:19:32 INFO BlockManagerInfo: Removed broadcast_1163_piece0 on 172.18.0.6:42633 in memory (size: 17.9 KiB, free: 506.7 MiB)
silver          | 26/04/18 21:19:32 INFO TaskSetManager: Finished task 2.0 in stage 1264.0 (TID 13063) in 986 ms on 172.18.0.8 (executor 14) (3/4)
bronze          | 26/04/18 21:19:32 INFO BlockManagerInfo: Removed broadcast_1160_piece0 on 172.18.0.6:42633 in memory (size: 39.0 KiB, free: 506.8 MiB)
bronze          | 26/04/18 21:19:32 INFO BlockManagerInfo: Removed broadcast_1160_piece0 on 2725c065960b:41071 in memory (size: 39.0 KiB, free: 136.3 MiB)
gold            | 26/04/18 21:19:33 INFO BlockManagerInfo: Added rdd_217_19 in memory on 172.18.0.9:35481 (size: 1924.0 B, free: 1222.5 MiB)
bronze          | 26/04/18 21:19:33 INFO ParquetUtils: Using default output committer for Parquet: org.apache.parquet.hadoop.ParquetOutputCommitter
gold            | 26/04/18 21:19:33 INFO BlockManagerInfo: Added rdd_810_19 in memory on 172.18.0.9:35481 (size: 1105.0 B, free: 1222.5 MiB)
bronze          | 26/04/18 21:19:33 INFO SparkContext: Starting job: start at <unknown>:0
bronze          | 26/04/18 21:19:33 INFO DAGScheduler: Got job 637 (start at <unknown>:0) with 6 output partitions
bronze          | 26/04/18 21:19:33 INFO DAGScheduler: Final stage: ResultStage 718 (start at <unknown>:0)
bronze          | 26/04/18 21:19:33 INFO DAGScheduler: Parents of final stage: List()
bronze          | 26/04/18 21:19:33 INFO DAGScheduler: Missing parents: List()
bronze          | 26/04/18 21:19:33 INFO DAGScheduler: Submitting ResultStage 718 (MapPartitionsRDD[3824] at start at <unknown>:0), which has no missing parents
bronze          | 26/04/18 21:19:33 INFO MemoryStore: Block broadcast_1164 stored as values in memory (estimated size 436.9 KiB, free 135.3 MiB)
bronze          | 26/04/18 21:19:33 INFO MemoryStore: Block broadcast_1164_piece0 stored as bytes in memory (estimated size 150.0 KiB, free 135.1 MiB)
bronze          | 26/04/18 21:19:33 INFO BlockManagerInfo: Added broadcast_1164_piece0 in memory on 2725c065960b:41071 (size: 150.0 KiB, free: 136.2 MiB)
bronze          | 26/04/18 21:19:33 INFO SparkContext: Created broadcast 1164 from broadcast at DAGScheduler.scala:1585
bronze          | 26/04/18 21:19:33 INFO DAGScheduler: Submitting 6 missing tasks from ResultStage 718 (MapPartitionsRDD[3824] at start at <unknown>:0) (first 15 tasks are for partitions Vector(0, 1, 2, 3, 4, 5))
bronze          | 26/04/18 21:19:33 INFO TaskSchedulerImpl: Adding task set 718.0 with 6 tasks resource profile 0
bronze          | 26/04/18 21:19:33 INFO TaskSetManager: Starting task 1.0 in stage 718.0 (TID 3985) (172.18.0.7, executor 12, partition 1, PROCESS_LOCAL, 10410 bytes) 
bronze          | 26/04/18 21:19:33 INFO TaskSetManager: Starting task 0.0 in stage 718.0 (TID 3986) (172.18.0.6, executor 13, partition 0, PROCESS_LOCAL, 10410 bytes) 
gold            | 26/04/18 21:19:33 INFO TaskSetManager: Starting task 20.0 in stage 553.0 (TID 2451) (172.18.0.9, executor 6, partition 20, NODE_LOCAL, 8029 bytes) 
gold            | 26/04/18 21:19:33 INFO TaskSetManager: Finished task 19.0 in stage 553.0 (TID 2450) in 1168 ms on 172.18.0.9 (executor 6) (26/50)
silver          | 26/04/18 21:19:33 INFO TaskSetManager: Finished task 0.0 in stage 1264.0 (TID 13061) in 1824 ms on 172.18.0.9 (executor 15) (4/4)
silver          | 26/04/18 21:19:33 INFO TaskSchedulerImpl: Removed TaskSet 1264.0, whose tasks have all completed, from pool 
silver          | 26/04/18 21:19:33 INFO DAGScheduler: ResultStage 1264 (start at <unknown>:0) finished in 1.869 s
silver          | 26/04/18 21:19:33 INFO DAGScheduler: Job 711 is finished. Cancelling potential speculative or zombie tasks for this job
silver          | 26/04/18 21:19:33 INFO TaskSchedulerImpl: Killing all running tasks in stage 1264: Stage finished
silver          | 26/04/18 21:19:33 INFO DAGScheduler: Job 711 finished: start at <unknown>:0, took 1.875294 s
bronze          | 26/04/18 21:19:33 INFO BlockManagerInfo: Added broadcast_1164_piece0 in memory on 172.18.0.7:44763 (size: 150.0 KiB, free: 506.6 MiB)
bronze          | 26/04/18 21:19:33 INFO BlockManagerInfo: Added broadcast_1164_piece0 in memory on 172.18.0.6:42633 (size: 150.0 KiB, free: 506.6 MiB)
